year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,13.899999999113264,0.6389280024100973,-1.004318586421597,-2.5283241456215095,18.67639742901172,10.584,
2006,13.199999999466144,2.892356624590039,-0.3004227974220818,-2.395372897456152,18.312817614090328,10.497,
2007,13.700000001546698,4.407360896445163,-0.5668836821735382,-7.356601337828482,17.86140864212004,10.394,
2008,6.900000000429586,8.949953353533871,-0.5427495549891492,-14.224647936054332,16.327049178754464,17.1,
2009,-14.10000000069978,3.406766826838013,-7.600815367461249,-16.48371164054829,16.649164050982133,19.295,
2010,2.2000000002150983,8.176361384739518,-4.967661773109419,-13.621948298573288,18.026839162061258,19.523,
2011,4.699999998674116,7.650008078592943,-2.7644068114691756,-10.440328193447318,17.734222648798145,18.884,
2012,7.200000000964863,2.558020077579073,-1.304359902078081,-9.962331642149692,18.033017871767925,17.511,
2013,3.299999999999997,5.789667785446507,-1.5679277816662438,-7.31624657065382,19.711377394197875,16.576,
2014,3.6000000005899295,2.981308689336724,-1.7705554347827663,-7.767866332401228,17.90443983837634,17.498,
2015,3.1999999989662484,3.731691192616935,-4.7003688531513355,-2.661807055847573,14.132741427705378,18.261,
2016,0.1999999998259909,-1.403607559008996,-5.481541315891807,-0.9565779686602256,13.107462825506229,17.617,
2017,7.500000001641439,0.9695532688161378,-4.058817429073012,-1.2607240201469878,13.347744638399917,17.704,
2018,5.199999999653244,2.520233820016377,-1.8476974008727756,-7.228123023795499,11.942703408285306,18.966,
2019,7.599999998539175,1.443446607706982,-0.5333703207138613,-7.056865730000434,11.218921077229837,18.304,50.028420686875
2020,-7.199999999206312,1.211435778384646,-5.2025601293038815,-3.99777390668492,10.497055254126495,18.175,63.4012140048923
2021,5.800000000656453,7.184836294433707,-4.429751118520957,-3.3962941866584946,11.217182745210694,15.469,60.080359762005
2022,12.599999999776628,8.640911089738546,-1.9767504115239456,0.7378672805096023,10.868833517411309,13.451,46.5518225515757
2023,8.299999999595386,1.980418776155536,-1.894531232889478,-2.7702659412112576,6.396210986175528,12.405,48.0562986773694
