year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,27.961538108213137,9.679507319170568,,1.2631911728089438,4.705286140427231,7.26,
2006,34.46620962267917,8.328924828632097,,17.670467343915032,3.766164594584503,6.62,
2007,25.4632157314482,16.69975496182445,,27.289087539852964,3.835876762186844,6.33,
2008,10.591437462476035,20.84908717727123,19.566387291589844,33.6793638921001,3.1080589322125114,5.86,4.57653797474662
2009,9.369502602771831,1.457048359703213,7.570467536480205,22.972044312481216,2.8326399787508953,5.74,6.29501240116287
2010,4.788832487615565,5.72687224669605,15.44636759684446,28.426831351936887,2.6654976324031554,5.63,6.38557579182856
2011,-1.5729973511110984,7.8583333333334,12.85626512038708,25.99576656121117,2.870355925041281,5.42,
2012,2.2029389170839835,1.066213397203028,5.9727420689504,21.49253577418954,2.856173342503338,5.19,
2013,5.843415904839276,2.415717452794191,4.877453507957787,16.49358766923963,2.3370481521570245,4.97,
2014,2.7975852144855935,1.37344181533176,4.622793535782126,13.568357403808582,2.454052718126685,4.91,
2015,1.0495464121508462,4.027685737427259,-2.723611621919823,-0.4191989098565649,2.392716799735197,4.96,
2016,-3.0635984225170603,12.44337485843723,2.4759380324765163,-3.600507334171835,1.6984394141119932,5.0,
2017,0.1536146617455074,12.93591841873347,1.8654891111180616,4.122089609918138,2.7733411672031254,5.0,
2018,1.5004016716731314,2.268546903739991,9.507773560405534,12.68237692452118,2.6018376847000946,4.9,
2019,2.479808791855646,2.610571827992152,6.31860818939096,8.704556201875638,2.6469932465702586,5.0,
2020,-4.19896065333343,2.759809470081272,-5.264451673438682,-0.7408742807954465,3.286456796196098,7.24,
2021,5.616440271505539,6.650299127087786,4.814005313122297,14.962000399868211,2.784540874133077,6.04,
2022,4.71468033247649,13.8522590144267,10.999227656082171,29.791694651223715,5.012251973723004,5.65,
2023,1.3544774911576667,8.785430498490808,5.7951346561800525,11.500129620786106,2.6409697519012676,5.64,
