year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,3.897183205449735,,2.008016207077091,-16.434390597453337,18.157078566960053,30.218,
2006,5.414002996072824,6.125566156202847,2.7457192845140197,-7.758385833744839,16.70398167140144,31.11,
2007,5.859116894125975,1.500777106115417,0.9165560546845012,-9.190427591297402,17.025545244098225,28.984,
2008,5.441847301659635,7.427043103329526,-1.6050799586835542,-13.8327998426086,14.219080168219984,23.405,
2009,-3.004455538908104,-0.3814642824530569,-4.181932426903986,-6.445207029101134,12.075844255494465,24.068,
2010,0.8656672362805438,1.996212367458867,-2.18914487386032,-6.0004639940390625,10.609404646769455,27.312,
2011,0.9595117097268968,3.67125,-1.1435924497265897,-9.479199442253137,10.503141337143648,27.582,45.8346943048337
2012,-0.8218372529629931,2.05267452001717,-1.6123176392700649,-8.625950202713314,10.714248927723876,28.01,49.0902635470572
2013,2.3498587317239696,-0.0930456838317588,-2.077415103129328,-5.325858104414481,10.770535825657678,27.49,49.6097495570649
2014,1.1538479337129814,-0.8971940541943332,-4.028258795311277,-7.350858196388208,11.353897913529424,27.517,53.5008592967128
2015,4.284130161378542,-1.036023034254743,0.3604877090351169,-5.0354053593225485,10.979478844672029,27.695,
2016,3.2422582223156553,-1.584100000000018,1.0629593155158812,-4.698670884324676,10.784617736818044,25.408,52.2381270477915
2017,3.2440989530659436,0.8101333219530387,2.220903769615779,-4.778782165558267,11.005301922077836,20.527,47.3715635753068
2018,3.829003993490645,1.417108140180337,1.6252409024584686,-3.23062992301101,11.047014955927734,18.4,44.8932316799242
2019,2.8858524208397824,0.56278215406123,1.3915021479714698,-2.596918792055148,11.388053900740442,15.692,44.0235714193856
2020,-3.0150933546043888,-1.051296007634898,-5.1537410130555,-2.839518363547187,9.547295984205055,15.868,45.4216327992572
2021,7.391642564728457,1.98163900587622,-1.1826868342240533,-1.4725666778038111,10.467531084398647,14.897,46.9748193876917
2022,4.226813333903252,14.0208440826771,0.105708401681812,-4.390735255996364,10.520878448985677,12.657,41.743510524303
2023,1.9943941485089312,6.1059011284828,-0.9677358856327274,-2.1351733150652548,10.233269597776376,10.668,40.310118633539
