year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,9.591138328530263,8.247090431141581,1.5248388679017977,-10.851155448997195,6.9569726609955795,13.81,29.2292335361289
2006,9.421480811899087,9.160965083944967,1.5554862616842762,-15.381074316393937,8.099786579536643,13.57,23.090087672862
2007,12.575569824640452,9.244897455924036,0.7626310772163966,-19.581931141351102,8.680540724025688,13.28,19.2040626581459
2008,2.4216144096064056,9.99948761552747,-1.8962091544385555,-21.97091877745667,8.323635919198296,17.87,23.4732554299105
2009,-3.6507522959682177,1.727514611379096,-7.756588457689315,-10.598628290109344,10.324398308838118,20.71,30.8567774936061
2010,6.246408653033626,7.110178974860989,-4.147365569551672,-9.646839122396598,9.527194961521714,20.203,31.4208316402546
2011,7.934336525307799,8.5429333333333,-1.126096785317445,-11.909823451636507,9.998354751213268,19.632,27.6972297789187
2012,6.578831019541951,-0.943658853270964,-0.4337383948094777,-11.144178672705609,10.477531075748566,19.653,28.1048141377209
2013,5.132885312093819,-0.5120584109470924,-0.8531814125883725,-5.454453079679119,11.104707114900608,19.416,28.9477658041046
2014,4.090490595817428,3.068812103795431,-2.2136056995145323,-9.93087844279949,11.05684767347901,17.439,30.3921568627451
2015,3.3510235026535327,4.003578206950973,-1.1300219983790667,-11.607116415078158,9.581981372768102,16.506,36.0003473428274
2016,3.4502151799687084,2.134927139391212,-1.493721445572183,-12.2417329389245,9.846744253544635,16.604,39.4788389461877
2017,5.159902616588269,6.035317252721169,-0.5556361877116593,-7.951247434639027,10.890132380252991,13.939,38.8413159167876
2018,6.062036412677003,2.615244713976705,-1.7811962798078194,-6.659352340397033,11.363124456954148,12.667,38.2238727024287
2019,5.380719265899515,4.852898216967227,-1.942846800466557,-5.993748490419152,12.80285896426542,11.565,44.723685798174
2020,-6.2904717853839,5.202464889753404,-8.273514230050814,-12.422285746311571,13.17641614818727,11.734,65.193315792645
2021,10.644233658096924,9.566914338247692,-5.893057110862262,-10.286448944019542,14.023815635964082,11.785,54.7271260127791
2022,10.95853213856239,11.89816542031976,-2.5201756793851224,-2.5818372754916563,15.424276060998457,11.621,42.9693933571232
2023,7.832201265557259,2.487760565787146,-2.016498900036941,-5.307688732339572,13.650407822307136,11.549,43.4063813624702
