year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,4.327076424679305,3.317178244480452,-2.5607168207272033,-7.5358656050797235,4.164272242682182,12.598,
2006,5.069077708413985,3.189825914729492,-1.6345942726075493,-7.884456104591658,3.8846541110175687,11.13,
2007,5.049276352481286,2.899282755833884,-1.902591120840931,-8.01574127853192,3.759132664451993,9.909,
2008,1.972870067238759,6.076968387983541,-2.162181631213232,-10.9284028864315,3.6588333572951415,8.53,
2009,-6.8123121757257366,2.378528459046742,-6.202689787741972,-6.557096326974284,3.6408427299397625,9.202,
2010,-1.3360467235497282,1.030555053335736,-6.631290939932441,-2.518422723666153,3.8779868016485737,11.62,
2011,-0.1109067224466286,2.2727272727273,-7.487345236676882,-1.6626320864064277,4.013478126421967,13.678,
2012,-2.237433601197708,3.412073490813581,-5.524487818583617,-0.3613469531743992,3.622534338905836,16.046,
2013,-0.1336457365306103,2.216582064297788,-5.507578628363308,-0.8590521892222366,4.626475509591829,17.231,
2014,-0.5576929136145878,-0.2151961595762682,-5.251419544822502,0.3936465186926823,4.652800856308877,17.209,
2015,2.3199869270838605,-0.4644990046449106,-3.6092161288163047,2.816039558205401,5.249638448336795,16.15,
2016,3.4664611428817835,-1.125000000000021,-1.008074714200622,2.462782480482107,6.121583605117058,13.015,
2017,3.2839632164301236,1.129372102823469,0.5650229462152345,4.050585640251863,6.52687320654271,11.078,
2018,2.9110759340784256,1.500125010417563,0.0570698657147974,1.2187976727877268,6.505874269746975,8.322,
2019,3.10152683894853,0.7718203464980194,0.6283521505830448,2.6394411207744333,6.966094112882409,6.551,
2020,-8.310864015011887,0.1548113745621064,-6.277981513126921,-0.7947647871521759,7.237447816752564,7.389,
2021,12.632219035102407,2.554506996420408,-2.2791046427800596,0.807924327122545,7.222704885739072,7.483,
2022,7.294453436426679,10.7805806758686,-0.4499132352974563,-3.680893080098085,7.523679207905612,6.811,
2023,3.761645407034592,7.9412817758683,-1.43392425177746,0.7427460323909016,7.096118747723755,6.121,
