year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,7.500000149372596,11.9591837222126,1.8036226495272496,-7.556361737092318,30.621653152554973,5.633,32.4251035801551
2006,4.799999836708309,12.77775578303504,0.1955132502122715,-11.337765188273677,34.49917463815525,4.26,29.1792912365375
2007,3.0000002258552456,12.36716684143009,-0.3368893879842785,-15.248207167321729,33.88323859386112,2.749,23.239565787011
2008,7.8000001454152255,12.78304726188203,-0.4058993674708369,-16.11227609592829,31.182077672165537,2.097,18.4425161310829
2009,-6.000000263528278,-0.0627185967109436,-5.918933742014681,-8.919861436996559,24.861960498613573,3.024,27.6322264363496
2010,7.100000107058364,7.483850863508509,-2.1338649050059098,-6.902795230780912,25.130242732070624,2.972,21.9325612593611
2011,5.818166146848242,7.687251033561811,-1.496768134992157,-10.125009457194157,21.547826803346226,2.677,19.7666739342535
2012,-0.5897339547625791,4.546334273553021,-1.7112218933095735,-7.390168270212887,22.808685029492068,2.189,20.3471393454785
2013,9.043865607418098,4.597878973631359,-1.462526575127255,-5.162941622851853,23.07681483988655,1.894,19.9179521587446
2014,4.999625854076555,5.088785546258694,-1.3674157092826889,-6.044400677661066,22.079345864455675,1.45,21.0660070666528
2015,-0.3382356223872023,9.67624033101867,-1.6206192411675868,-5.9356213637078925,19.751035292269034,1.781,23.3135833177914
2016,4.646014362594087,6.359308980379309,-2.0420045544046994,-3.613870401879835,18.384102805097253,1.591,32.2474466077299
2017,4.175612051062785,6.570229974555971,-0.7566163754115668,-5.83735984990539,17.214635800724825,1.622,29.6674963404315
2018,4.075595465850341,3.045053973370707,-0.9248258235751282,-10.769924785256594,16.333738652303175,1.239,27.5107781705941
2019,3.5523140853476036,4.837783514287343,-1.3639645573446488,-9.421480109494793,16.27283824623813,1.502,25.4510119081043
2020,-8.275978319769493,3.76597122245351,-5.4856545961756575,-7.690048692172597,16.27492238441102,1.206,33.9555752157792
2021,13.929999788978575,5.106411290028408,-1.935362910535981,-12.409554657796743,15.478748439119752,0.794,32.1187790600053
2022,-4.600000025532296,28.73729767662346,-3.132558810034664,-17.089447979746932,14.029415816818233,0.909,34.4860323998862
2023,1.2000000493378025,13.41701043812994,-5.023652493794202,-11.061226453880591,12.038730028611916,1.57,34.261803395941
