year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,4.6681480508487,9.014912833438348,-0.7834431829392471,-8.674632054399412,0.9667252356129116,7.174,
2006,8.028811075991626,6.558514122769834,-2.1455958147125735,-10.666103691840544,0.9510151022400384,7.27,
2007,7.233807743628049,4.837329283139891,-2.5312016154436865,-13.70323260421038,0.9303475199009614,6.413,
2008,9.307467170773378,7.850802557144816,-4.413729916414644,-11.658522565436945,0.7943113706887235,5.787,
2009,-5.516706158430111,5.587420042643928,-8.811918038060753,-4.729256932614622,0.3919713992761111,6.859,
2010,-3.905811573029723,6.09141668601891,-6.999347762733661,-4.985436879172786,0.3771434824579791,6.959,
2011,4.495589099463132,5.7892532881588,-4.97420964349877,-4.815883019869228,0.3603478606251004,7.177,
2012,1.9036169679960295,3.334922676934421,-3.3943820067361576,-4.57804292376289,0.4093510358599845,6.794,
2013,0.2787718774702341,3.984712355481296,-2.3929047518024675,-1.1374670999794054,2.532037728804857,7.096,
2014,4.116001092678317,1.068309876842982,-1.7047413309812305,-0.3414644080537057,2.545295266376696,6.802,
2015,3.157036054385401,-0.5941564374952033,-1.2686432897349036,-0.6374916373234985,3.0308418000579396,6.812,
2016,2.8599325230208876,-1.544796668138967,-2.7434917755475756,-2.103248858832627,3.2002634393119567,5.901,
2017,8.195478266412607,1.339021211043902,-2.7116770073434107,-3.1941571215988307,3.119552942452308,4.927,
2018,5.3945222818567515,4.625484431377785,-2.778051752207546,-4.607487287417963,2.8884341372655373,4.187,
2019,3.960289584975982,3.827854325994376,-4.180012853100534,-4.869778871409148,3.2557642866172283,3.912,
2020,-3.598025460347571,2.631073111847428,-9.007402524155722,-5.140438475678154,3.042685175472596,5.035,
2021,5.5873507253886885,5.05232876096582,-7.419195399992276,-7.214350332479611,3.197717398426935,5.59,
2022,4.1877130510410865,13.79548874325208,-6.469611608511873,-9.252978760692072,2.973501725997859,5.614,
2023,2.257734165551213,10.39718747649958,,-7.033774438911319,2.86550550052392,5.589,
