year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,5.903496229354886,16.11998064828263,,,,20.85,
2006,3.900666446209925,11.72402299808338,,,,20.85,
2007,7.832070230276017,6.391706443914125,-0.8084455953178032,-16.761729410728567,8.385767012943377,18.06,
2008,5.1608932723182335,12.41098677517796,-1.5227736566257375,-19.43392641159552,6.539006735395294,13.67,
2009,-3.1426107541657444,8.116950922380816,-2.3843562136436813,-5.961840932509464,9.902638202604514,16.116,
2010,1.6109728144941189,6.142553602472484,-3.4105641862779805,-6.183858473365371,9.45743060186176,19.204,
2011,0.0542724836581953,11.1373976342129,-3.779034871939314,-9.928026019451144,7.7285568411336465,22.959,
2012,-0.4439560709832477,7.330385895966456,-5.5007531093087785,-10.4794350040675,7.862966792166596,24.0,
2013,0.4515788053307261,7.694263628966555,-4.1935774897483835,-5.537886978655758,7.976914202642367,22.154,
2014,-1.8042704168113204,2.082447938801538,-4.458071571576078,-5.364396582615372,7.525365109036468,19.223,
2015,1.2957386351958036,1.392358220001869,-2.7835438969487054,-3.3178196033698453,8.161372474056613,17.66,
2016,2.9751980716082613,1.12231397417769,-0.8823103262254759,-2.818257101292992,7.591081323720822,15.257,
2017,2.3634031250552994,3.131062485901151,0.7648943285961723,-5.052399482916263,7.808153020666728,13.477,
2018,4.649350354910069,1.959840762938007,0.6139103803412175,-4.658472868411613,8.421700519599197,12.733,
2019,4.750207938990144,1.849229845110863,0.1953376928161315,-6.563315260882437,7.867724872242679,10.395,
2020,-0.9500239918515944,1.575532900834149,-7.026105178153315,-3.895860019435446,6.923650399422663,9.011,
2021,7.949056504722776,4.085102853351022,-7.962194002029189,-4.0120839428330495,6.949436728672673,9.843,
2022,2.7034770554365366,11.98151173447029,-3.0568717193304766,-6.6711691447389505,8.537933279864648,8.439,
2023,3.747933035617706,12.37190435525192,,-2.3936439200330915,7.0960644346216,8.268,
