year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,13.034034870021998,,,,,7.495,
2006,10.973308325401703,,,,,6.601,
2007,11.059299470450014,,,,,5.719,
2008,14.700000000000005,,,,,4.852,
2009,6.100000114856428,,,,,4.0,
2010,9.199999988054827,,,,,4.0,
2011,14.69999992787234,,,,,4.003,
2012,11.099999961554488,,,,,3.994,
2013,10.200000101398984,,,,,3.993,
2014,10.299999970545912,,,,,4.005,
2015,6.49999990951666,,,,,4.016,
2016,6.199999966430099,,,,,4.026,
2017,6.500000046829754,,,,,4.035,
2018,6.199999941371189,,,,,4.036,
2019,6.300000042267115,,,,,4.035,
2020,5.900000048525996,,,,,4.489,
2021,6.200000017470757,,,,,4.458,
2022,6.199999936216983,,,,,4.017,
2023,6.3001575854987095,,,,,4.007,
