year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,9.111577458616352,8.179160368020023,,-4.127368383273712,0.2691248783755213,10.636,
2006,7.067626076239392,9.597242122884325,,-5.567942676127903,0.3275155293415842,10.227,
2007,5.108185139036038,8.756180909726387,,-5.391778220479685,0.3058833743876311,10.285,
2008,0.9201182213658824,10.44412837648851,-1.8209981476952368,-5.084496944916503,0.314540862594515,10.965,41.03188129671
2009,-4.882694017066328,6.250976630906265,-5.069611704059962,-1.7369775812238817,0.2804734005955801,14.026,48.4871401224526
2010,8.54219848467686,8.56644420552976,-2.737061778812527,-5.702542616694915,0.2324464990424212,11.879,45.1797411845197
2011,10.979962527359843,6.471879671151,-0.726181222054295,-8.81351105932507,0.2230533893083492,9.789,39.969342535799
2012,4.807626966334482,8.891569965121626,-0.1277307974037878,-4.720964187581185,0.2124637198976028,9.21,37.6997174661117
2013,8.488256892985106,7.493090305476931,0.2795090021561504,-5.126861241768721,0.19757471711574,9.713,31.7836465290005
2014,4.600794472705587,8.85457271364324,0.2693611883729571,-3.407462599307541,0.1845399395887827,9.901,31.1206735024546
2015,5.805573866286835,7.670853648458768,0.3760915612295069,-2.467358254506579,0.1618792223734999,10.304,29.1451452655038
2016,3.323665082004453,7.775134153283301,-0.974999415125652,-2.5455375944862944,0.1379163013027491,10.899,30.0752014180837
2017,7.825857300025945,11.14431108407649,-2.602450676825532,-4.068299167311187,0.1222399749802422,10.919,29.5734179689365
2018,3.468153060922191,16.33246389889283,-2.2051109353811387,-1.852333430605566,0.1454924635283561,10.956,29.3999927097041
2019,1.3016236546450273,15.17682157200223,-3.9244552378748234,1.9351600379274985,0.1103301580169134,13.73,33.4600744646841
2020,1.803062470872547,12.27895744625741,-4.466346185641076,-4.22230197946184,0.1112279963597902,13.148,41.0396523800978
2021,11.811094450607,19.59649269133236,-1.266473656290946,-0.7406493159242302,0.0864348823920577,11.969,41.637512472512
2022,5.441225113224007,72.30883598912071,-2.957177375181053,-4.9976380622735554,0.0751540758235722,10.465,35.3300843747051
2023,5.045123698122893,53.85940875933153,-4.298652923615075,-3.494172996382256,0.0901648572680327,9.388,33.2548360241526
