year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,3.071230392452094,13.56957649092478,-1.3161974525774889,2.8395699526594873,2.6983758666156454,7.18,
2006,7.571420763229668,9.05252491133248,-0.9952780265407474,-1.4470246965583398,2.772495743498437,6.81,
2007,8.215844451657148,12.83877961901812,-0.8540871727825367,-3.5304670712256327,3.5566884035009703,6.351,
2008,2.2434915962828796,25.22646170738403,-1.4036342661979635,-6.794414681288913,3.60532981523366,6.363,13.2299542095983
2009,-15.13646791015016,15.88119245944761,-5.405937645848864,-1.4281935373510362,4.887613943204209,8.84,23.9900342329063
2010,4.092004366680868,9.37293105078978,-6.301137352365059,-2.135838622148253,4.627886404422689,8.1,28.8666366228354
2011,5.4452808104847605,7.955724662746522,-2.2372732137642326,-6.043092325771692,4.619277648019756,7.851,26.4808201734686
2012,0.1523149672006525,0.5687279718038623,-3.914966527219593,-7.850847422993415,4.627262635289248,7.529,32.445911715199
2013,0.045439094492707,-0.2389486260454066,-4.167602395680708,-8.670920240080333,5.074572342950513,7.17,35.6313995863809
2014,-10.078894984095273,12.0718562874251,-4.833623729059212,-3.4425967845788845,5.508454472104681,9.27,63.6653191884884
2015,-9.772987212867603,48.69986464344236,-1.493363988928583,5.531084775091726,9.30892003656947,9.14,70.2588376218982
2016,2.440981944920665,13.91271019977966,-2.576484037885994,-1.9988030874913587,10.14612156737307,9.35,71.8095454494004
2017,2.35997228099491,14.43832274887494,-1.3925172420617418,-3.0983891075050645,10.823396674993218,9.5,66.7346465062875
2018,3.488362340226587,10.95185593531784,-1.7086006799423197,-4.9140091077667005,11.226127150112546,8.799,56.9059506749708
2019,3.199503863541338,7.886717456111332,-1.7193184749665469,-2.679957322617582,10.259739624026764,8.194,48.3272696003568
2020,-3.752817939831615,2.732492094194272,-5.226611584106777,3.3629655266926353,9.713460140037034,9.475,58.7161850732326
2021,3.4456206594594363,9.363139176952233,-3.533603664309908,-1.943274996207013,9.040583830885794,9.834,
2022,-28.758584215508492,20.1836366617478,-16.991632554664776,4.9237752939142,10.360546734925029,,
2023,5.534733549633344,12.84902228285588,-19.57390968353616,-5.277518979245654,8.258953007357768,,
