year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,6.950007195690972,,,8.02147599172506,7.171936526219236,7.092,
2006,7.451418476217683,,,9.98278095339074,8.180185407437003,6.035,
2007,9.473005305445398,,,8.10827572787101,7.648886860118179,4.99,
2008,9.02916101784777,,,10.775516002094992,12.284358798573686,4.89,
2009,8.050933327339663,,,5.227677289404829,6.465248820833958,5.04,
2010,7.597167961001603,,,4.578738377002941,6.903109339252548,5.36,
2011,7.525139894229767,13.7797446476602,7.05065387303117,4.6253855092930705,8.154717451665112,4.96,
2012,7.102444887063172,13.2088026688373,8.788172273574963,1.7906321175942188,9.016899359971584,4.87,
2013,7.296550369698991,11.84143336220487,4.4079801358301784,1.7979824922414709,8.802311469420621,4.86,
2014,6.8738384408163995,9.283093561626954,3.8686908036959298,2.567776597988848,8.428825283397483,5.09,
2015,7.218773508208031,8.751881967375075,2.624714992526006,1.0391286715767074,5.618781435448133,5.15,
2016,5.932150799932927,8.130886695235997,3.4815868106713483,0.2475511149178801,6.727625417763421,5.16,
2017,4.395274633492633,13.87574254416354,1.2362659358287758,2.1202521056977206,10.22930003226957,5.83,
2018,5.559195729192879,17.52417965140548,2.4397818713753563,-6.121664339697936,12.964472492243914,5.392,
2019,6.7799239965523554,14.52573595606866,0.4472524560879237,-5.009722244144634,12.699794213550014,4.936,
2020,1.5633427726051536,12.86772973626065,-1.7147533376735338,-4.557098019179724,10.661314975789598,5.293,
2021,8.034683126400495,10.8492397508122,-4.188249476291559,-6.3324637229944205,11.994877144838524,5.364,
2022,6.001342322034418,11.44664369988359,-3.5567109032865125,-3.1590592802603124,17.217341820771477,4.456,
2023,6.291416350823113,9.956590712580178,-4.274945246990981,-7.596995177748825,13.804193675086111,4.434,
