year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,4.41,5.63,-2.38,,6.34,11.39,70.51
2006,6.89,2.38,-3.01,-6.16,7.25,13.18,67.81
2007,1.76,3.39,-5.4,-6.87,3.75,14.73,61.16
2008,,,-3.37,-8.53,6.67,15.57,54.51
2009,1.71,3.03,-5.99,-2.08,7.22,16.18,68.88
2010,1.26,1.91,-3.73,-8.24,5.28,14.63,77.21
2011,2.34,2.97,-5.79,-8.47,6.64,17.69,73.76
2012,3.84,3.93,-3.32,-6.05,6.27,7.63,64.18
2013,-0.72,4.16,-3.62,-7.64,7.72,13.73,68.5
2014,3.38,2.7,-7.51,-7.21,3.9,15.29,63.01
2015,1.93,0.65,-4.64,-5.41,8.03,15.3,58.53
2016,3.71,3.36,-2.2,-9.86,5.38,17.11,62.6
2017,,4.37,-4.03,-10.35,,15.2,57.4
2018,2.03,1.59,-3.83,-8.5,3.2,17.96,60.1
2019,4.14,3.38,-3.74,-6.86,7.29,11.73,60.8
2020,-1.58,3.32,-3.61,-8.59,4.45,15.84,63.99
2021,,,-1.29,-8.16,7.77,14.35,83.01
2022,5.99,1.19,-1.54,-6.65,5.45,11.48,76.05
2023,5.0,0.1,-2.77,-5.65,3.4,14.16,78.49
