year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,6.17,8.31,-3.05,-5.12,10.17,18.35,59.34
2006,2.25,4.98,-4.37,-6.09,12.4,15.15,44.09
2007,4.54,8.68,-3.32,,10.67,13.01,
2008,4.64,2.37,-6.25,-9.67,12.38,19.15,55.22
2009,11.89,4.58,,-8.15,10.77,16.44,45.76
2010,,3.01,-2.6,-9.0,11.78,15.05,63.5
2011,10.28,5.5,-1.32,-12.96,12.38,18.87,63.15
2012,8.26,5.37,-2.96,-6.68,,17.63,60.3
2013,6.34,7.28,-5.68,-8.35,9.91,13.88,59.66
2014,,3.52,-3.19,-11.57,,17.55,55.4
2015,2.9,4.76,-2.15,-12.06,,,57.55
2016,7.34,,-3.07,-8.06,14.93,17.87,56.01
2017,7.38,,-2.54,-9.05,11.24,18.89,44.78
2018,-4.15,7.19,-6.26,-7.26,10.73,17.85,58.63
2019,2.8,2.55,,-9.73,13.16,17.94,51.81
2020,-1.21,3.5,-0.94,-9.32,9.63,12.65,57.35
2021,9.33,4.6,-5.82,-10.39,13.33,16.91,53.68
2022,0.76,4.07,-4.56,-4.38,11.83,16.5,47.25
2023,5.95,2.56,-3.46,-9.45,13.35,15.98,52.84
