year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,2.65,0.39,,6.59,0.92,1.3,31.59
2006,2.28,,2.24,7.73,4.78,6.81,25.18
2007,11.38,1.92,2.37,12.42,1.67,,25.44
2008,0.08,12.8,1.75,3.34,0.97,6.69,20.43
2009,0.93,7.42,0.07,10.15,2.68,5.06,
2010,-2.04,2.27,,14.76,3.09,6.71,22.72
2011,7.94,0.11,3.36,8.48,0.93,3.45,6.65
2012,0.16,,0.76,7.08,1.48,8.41,29.31
2013,8.23,4.84,,13.46,2.97,2.2,14.09
2014,2.45,,0.95,9.16,,,20.07
2015,2.96,5.1,,4.01,1.74,,14.7
2016,0.02,,0.5,15.1,,7.25,11.92
2017,13.32,7.13,4.95,5.96,3.43,9.03,
2018,-4.07,,,4.28,,4.27,35.18
2019,11.66,2.48,2.75,11.6,2.28,3.93,
2020,1.51,15.12,1.77,6.33,0.0,4.45,20.51
2021,,5.33,-0.86,9.63,0.11,4.98,20.9
2022,5.55,3.28,2.83,12.53,0.59,7.34,23.85
2023,0.35,8.63,1.48,9.23,2.23,4.25,36.66
