year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,3.93,5.73,-0.66,-2.21,2.63,5.04,23.5
2006,5.5,1.62,1.75,-3.47,1.07,8.91,17.63
2007,0.51,0.67,-1.23,3.84,5.62,7.67,17.12
2008,-0.42,3.52,-1.9,-4.69,6.19,8.91,25.22
2009,3.23,2.13,,-0.35,4.0,11.3,17.73
2010,1.37,2.82,-0.07,2.23,3.32,7.87,23.39
2011,4.04,2.92,-0.99,-4.09,4.82,4.45,22.48
2012,-1.1,3.07,-2.6,-3.49,3.87,5.34,25.14
2013,1.33,2.63,-3.05,-0.19,1.89,7.97,22.73
2014,3.54,4.53,-0.63,-0.58,2.55,9.39,27.61
2015,4.29,4.36,1.25,0.74,4.38,,40.86
2016,3.51,2.16,-1.21,0.35,2.33,7.47,15.43
2017,-2.06,3.55,-5.23,-2.99,4.14,7.92,27.96
2018,4.72,6.06,-0.67,0.58,,7.84,37.73
2019,6.3,0.4,0.8,0.52,1.95,6.79,32.53
2020,2.27,10.82,-2.63,-4.92,6.55,8.92,21.49
2021,4.93,1.44,-1.82,-5.03,7.28,10.51,28.86
2022,5.33,3.43,0.59,,5.02,9.21,18.64
2023,5.14,3.2,,-2.67,5.54,7.02,13.22
