year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,-0.23,0.23,-2.12,-4.65,12.27,16.26,46.28
2006,-0.89,3.07,-4.07,-3.34,8.83,18.89,28.68
2007,2.04,4.12,,-0.96,,21.8,30.19
2008,9.4,6.66,-0.41,-6.02,9.84,19.27,35.9
2009,3.13,4.19,-0.86,2.49,8.41,,36.48
2010,3.06,3.0,-2.0,-7.63,9.41,19.31,26.87
2011,5.45,0.09,-0.19,-3.61,,19.55,
2012,2.58,,-3.07,-6.19,9.28,18.49,30.79
2013,1.63,3.34,-3.68,-10.45,8.91,22.17,46.17
2014,4.52,2.05,-1.19,-8.92,9.65,22.06,21.96
2015,2.31,3.25,-3.1,-9.05,9.64,20.81,
2016,3.57,2.55,-2.98,-2.53,8.26,18.89,35.97
2017,0.02,3.54,-3.36,,8.34,20.31,29.85
2018,2.83,0.2,-2.02,-3.08,7.81,17.93,36.7
2019,4.45,,-2.4,-7.0,9.18,20.27,34.39
2020,,0.14,-0.23,-7.15,7.09,21.23,38.55
2021,,1.95,-2.44,-6.12,5.79,19.94,39.08
2022,1.37,1.06,-0.64,-9.37,6.26,19.02,33.82
2023,2.03,,-2.29,,9.64,18.56,34.48
