year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,2.95,7.8,,-0.33,1.41,2.2,28.2
2006,-2.07,9.39,-0.35,-3.39,0.0,0.0,39.94
2007,0.86,11.15,-1.41,1.8,2.57,0.93,34.07
2008,,28.11,-0.87,,3.02,5.27,53.6
2009,,,2.11,-2.44,3.06,0.1,45.7
2010,,19.37,0.43,-9.77,0.0,2.01,37.6
2011,1.8,,-2.63,-5.65,4.85,3.36,50.05
2012,4.88,9.04,-1.22,-7.89,,3.94,32.93
2013,-2.42,14.45,-3.22,-0.57,,6.86,32.27
2014,-4.64,19.16,,-2.79,,0.0,48.72
2015,8.81,10.71,-0.79,,0.03,3.88,33.38
2016,,5.98,1.48,-4.28,2.7,,36.52
2017,-2.33,22.09,-1.04,,,,27.57
2018,2.83,5.57,0.29,2.28,1.66,,31.44
2019,2.91,3.88,-2.68,-5.45,2.11,0.0,
2020,-5.35,24.79,,-0.52,0.9,,42.15
2021,5.97,6.47,-0.78,-0.88,0.0,,32.27
2022,,14.93,-2.28,,,0.0,50.96
2023,-0.7,7.09,-1.13,-5.92,1.35,2.71,
