year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,0.69,5.05,-3.07,-3.37,9.63,13.28,49.0
2006,,4.54,-0.58,-6.76,10.72,19.13,41.85
2007,,3.16,-2.28,-0.72,12.96,15.44,55.49
2008,-0.35,0.17,-2.86,-0.84,11.08,15.36,58.69
2009,1.39,3.25,-4.79,-6.59,12.18,13.47,40.66
2010,6.81,4.41,-1.47,-4.44,9.2,,41.62
2011,6.68,4.32,-1.68,-2.95,10.41,12.8,52.19
2012,6.0,8.25,-2.18,-4.44,10.29,14.85,41.94
2013,,2.63,-0.98,-4.65,8.87,11.09,43.28
2014,0.31,4.14,-5.09,-8.87,10.64,,43.47
2015,4.72,,-3.6,-8.47,9.72,17.38,39.27
2016,2.12,4.84,-3.71,-8.03,9.82,18.25,37.74
2017,9.98,5.08,-3.64,-0.68,8.24,13.16,46.08
2018,4.84,11.72,-0.93,-9.88,6.04,17.76,52.77
2019,,8.07,-3.63,-9.47,,,36.81
2020,-1.64,10.37,-2.86,-5.1,10.66,18.32,
2021,13.2,,-3.44,-11.82,10.54,13.29,43.88
2022,10.04,5.52,-0.38,-5.2,9.16,16.84,53.92
2023,7.69,1.34,0.38,-5.53,10.41,14.55,
