year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,3.64,0.04,-1.47,4.73,6.49,,82.15
2006,0.73,1.86,-1.1,3.16,3.18,11.68,57.66
2007,3.03,2.69,-1.62,0.48,3.97,11.05,63.76
2008,3.11,1.95,-0.89,1.79,4.46,9.86,88.35
2009,0.57,1.88,-4.24,2.56,5.42,10.04,74.13
2010,-0.42,4.19,-3.94,1.04,1.55,10.66,69.7
2011,1.05,1.34,-0.44,5.04,3.46,10.82,83.56
2012,3.05,1.75,,-1.45,2.38,15.7,67.59
2013,1.05,0.68,-0.56,-0.3,2.67,10.33,63.33
2014,1.56,0.86,-3.74,2.76,3.11,11.68,68.96
2015,1.65,0.73,-2.86,0.76,3.94,12.25,69.24
2016,0.59,2.57,-3.64,3.42,3.32,13.75,84.31
2017,2.72,3.63,-0.95,2.42,2.33,14.37,68.8
2018,5.23,0.8,-2.96,-2.67,6.32,,81.37
2019,2.38,2.91,-0.96,-1.28,1.65,7.74,73.73
2020,-6.53,3.86,-2.5,0.9,,12.45,80.36
2021,9.05,3.03,0.36,2.1,3.46,9.7,
2022,1.71,3.62,-3.68,3.64,4.04,15.65,82.22
2023,-0.81,0.22,-2.95,2.89,5.51,9.85,75.52
