year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,1.1,0.75,-5.71,4.46,0.0,5.97,231.44
2006,3.47,1.61,-3.24,-1.73,1.03,7.24,212.48
2007,2.55,0.67,-2.64,-1.25,0.53,4.83,204.84
2008,0.38,1.3,-5.33,-2.69,0.0,5.56,230.68
2009,0.47,0.28,-4.74,3.01,0.17,1.82,207.43
2010,1.09,0.71,-6.15,3.06,0.1,1.56,225.89
2011,0.63,1.76,-4.97,-4.92,1.81,5.88,221.29
2012,1.69,2.03,-3.45,0.34,1.63,2.34,226.73
2013,0.76,0.07,-4.95,7.39,0.0,3.27,221.99
2014,1.27,0.25,-2.95,2.77,0.0,4.6,226.83
2015,-0.54,0.32,-7.05,-2.32,0.57,6.81,215.64
2016,1.2,0.69,-3.57,3.89,0.57,0.6,222.56
2017,0.16,1.39,-3.96,3.09,0.61,3.93,215.78
2018,1.38,0.1,-5.41,1.77,1.54,0.3,215.23
2019,2.45,1.07,-3.68,2.92,0.8,0.59,216.06
2020,-7.5,3.68,-4.9,2.66,0.63,0.05,223.41
2021,2.85,1.57,-4.51,4.29,0.0,5.03,222.25
2022,-0.85,0.7,-6.33,7.08,1.52,0.27,209.78
2023,0.54,1.77,-4.93,10.3,0.0,5.79,216.45
