year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,3.23,7.57,-3.16,-1.14,0.68,6.02,25.81
2006,4.72,13.85,-2.03,-1.37,0.0,3.38,18.99
2007,5.51,,-0.79,4.03,,6.95,13.0
2008,,5.17,-0.66,,4.06,5.73,11.7
2009,5.7,,-2.18,-0.12,0.0,7.75,
2010,6.16,4.82,-0.6,0.1,,,16.26
2011,4.65,7.4,-3.44,-0.6,0.12,3.13,13.69
2012,0.71,,-3.78,0.65,0.0,2.33,
2013,2.05,2.75,1.56,-3.02,0.0,7.13,
2014,,7.6,0.97,-0.42,0.0,2.27,29.27
2015,8.19,2.68,-2.02,-0.28,1.42,6.78,9.87
2016,4.18,2.28,-0.37,4.31,0.52,5.03,33.81
2017,4.55,13.58,-2.8,0.65,0.0,,
2018,4.1,13.64,-3.35,-5.82,0.0,5.59,19.92
2019,7.12,0.16,-1.28,0.73,3.11,4.75,14.03
2020,-5.3,13.88,-1.68,,0.0,,26.52
2021,2.28,2.55,-3.34,,1.56,3.24,19.49
2022,4.0,,-1.92,2.97,1.5,8.93,17.29
2023,-0.21,19.06,-3.68,-0.33,0.68,5.54,
