year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,4.76,3.41,-3.84,-3.87,29.33,6.89,60.28
2006,6.78,0.77,-3.86,,,,
2007,,6.84,,,30.14,7.47,48.03
2008,1.76,2.12,-3.88,-7.58,,8.32,56.25
2009,3.4,8.64,-3.68,-9.86,26.86,10.5,57.64
2010,,11.91,,-9.21,25.16,6.99,49.21
2011,,0.98,-2.91,-8.98,23.97,6.2,47.95
2012,5.31,3.61,-3.93,-6.39,30.49,,50.33
2013,9.28,15.46,-4.53,-5.94,29.88,5.46,
2014,1.58,0.5,,-3.32,27.59,,50.82
2015,,9.68,,-3.21,27.83,4.22,53.99
2016,1.77,,-3.2,-7.44,27.38,5.51,
2017,-0.04,,,-10.02,30.58,9.53,44.82
2018,3.14,7.97,-1.51,-6.65,27.06,6.85,
2019,5.67,5.76,-3.67,-13.05,,,
2020,-1.96,,-1.51,-5.88,26.87,5.81,51.48
2021,0.13,6.89,-4.77,-7.86,27.33,8.9,69.52
2022,5.96,,-3.08,-8.62,,,
2023,,7.41,,-6.12,28.52,5.58,60.05
