year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,5.96,11.88,-1.47,-14.31,17.83,0.0,44.48
2006,,13.82,-3.81,-6.55,20.52,6.02,40.62
2007,,5.79,,-3.27,20.0,3.68,
2008,2.82,5.87,-3.8,-9.05,,6.57,36.53
2009,8.87,,-1.65,-8.8,15.79,4.82,50.78
2010,11.0,0.04,-1.58,-7.98,18.37,2.57,32.46
2011,5.1,9.44,-1.92,-8.74,16.47,,44.18
2012,7.48,3.78,-1.57,-8.27,,3.67,46.18
2013,5.98,14.28,-3.58,-11.55,19.99,2.35,37.53
2014,3.72,,-3.44,-4.31,17.51,7.57,41.19
2015,2.05,3.33,-6.64,-6.1,18.31,5.91,29.28
2016,0.55,,,-8.81,18.66,3.38,36.32
2017,2.95,12.87,-5.98,-9.72,17.63,7.0,38.0
2018,5.75,,-4.77,-11.52,,5.46,29.77
2019,9.52,3.18,-3.42,-9.15,18.31,5.57,
2020,-13.38,7.1,-5.56,-7.34,17.09,,45.47
2021,1.66,4.99,-3.95,-13.12,17.44,4.69,37.99
2022,,3.26,-3.38,-11.4,17.66,4.57,42.3
2023,1.71,,-3.85,-11.77,20.56,7.46,42.63
