year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,,1.83,-2.25,-0.07,,,30.05
2006,6.43,1.65,,-2.06,4.94,24.01,44.45
2007,,2.68,-2.77,-3.42,3.32,24.87,42.49
2008,3.82,0.43,-1.98,-4.87,3.92,,31.27
2009,,,-1.79,-0.07,3.24,23.12,36.16
2010,4.24,0.54,,-2.18,2.57,21.33,43.05
2011,2.43,1.76,-4.57,0.42,6.63,20.95,42.08
2012,0.85,2.68,,1.55,4.86,21.88,
2013,1.71,5.03,-3.56,-0.66,4.41,22.53,
2014,1.98,3.24,-3.32,-6.11,5.32,21.64,39.41
2015,-3.35,,-5.22,-4.44,2.41,22.19,47.01
2016,-1.47,1.0,-5.9,-4.9,5.62,19.3,
2017,-2.85,1.68,-3.01,-1.68,4.39,22.88,41.81
2018,0.76,3.68,-3.08,-4.98,5.79,22.07,48.9
2019,5.0,2.48,-3.86,-4.04,4.24,21.93,46.36
2020,-1.93,1.22,-2.08,-2.35,2.94,20.22,31.41
2021,6.36,2.74,-2.47,4.44,3.57,24.13,56.94
2022,6.54,1.82,0.16,-4.59,2.84,20.27,37.39
2023,0.74,1.45,-2.22,-6.45,3.48,23.24,41.76
