year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,5.85,7.78,-4.01,-12.63,3.39,7.52,66.71
2006,5.27,,-3.78,-11.79,0.0,9.98,65.95
2007,2.7,0.99,,,1.15,7.82,62.09
2008,3.54,6.05,-3.78,-10.15,1.28,6.04,53.18
2009,15.15,,,-5.54,0.0,5.43,
2010,11.15,10.11,-3.16,-10.02,0.0,4.37,65.9
2011,4.72,5.27,-4.24,-6.78,1.44,8.94,70.7
2012,4.89,,-3.15,-12.24,,6.61,65.04
2013,,8.9,,-11.09,2.73,1.67,
2014,1.13,4.21,-4.64,-12.26,0.0,7.14,
2015,6.12,8.62,-3.26,-11.26,2.96,,62.43
2016,1.27,8.59,-3.29,-7.78,4.85,,63.23
2017,15.04,1.46,,-10.61,0.75,,
2018,9.52,5.11,-1.98,-12.71,0.0,5.9,84.54
2019,9.01,9.97,-3.65,,1.16,9.16,
2020,,,-2.7,-16.17,0.88,5.99,61.36
2021,1.16,0.05,-3.69,,1.88,5.93,63.42
2022,-0.61,7.53,-3.43,-11.66,0.05,,
2023,18.23,8.48,-1.79,-12.42,,,66.19
