year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,3.31,0.38,-4.64,-5.41,0.31,6.66,36.9
2006,0.12,10.02,-2.31,-6.08,1.7,1.02,38.33
2007,1.58,2.25,-5.44,-1.46,5.01,7.35,42.48
2008,2.85,11.02,-3.61,,6.41,6.29,22.36
2009,6.76,7.14,-5.24,0.89,3.11,3.22,31.76
2010,-0.46,1.5,-1.83,0.76,4.32,4.27,45.34
2011,2.37,3.79,-3.14,-7.49,2.85,6.96,52.27
2012,5.66,4.48,-4.34,-6.13,2.34,5.5,39.75
2013,9.5,9.92,-2.26,0.47,1.12,8.72,26.39
2014,5.08,5.37,-4.0,-0.43,3.38,4.42,27.26
2015,6.97,5.46,-3.16,4.5,3.17,3.15,28.68
2016,3.79,5.76,-3.56,-3.41,0.0,7.69,33.95
2017,5.22,5.65,-3.77,-3.75,3.54,4.51,35.56
2018,4.36,1.34,-4.66,-4.19,4.53,6.65,50.47
2019,4.71,1.54,,-1.03,1.22,7.86,32.76
2020,-3.79,7.02,-3.37,-1.4,0.0,,30.71
2021,11.34,0.05,-1.36,-4.31,1.6,3.9,41.67
2022,8.15,2.0,-2.7,-2.62,2.04,7.06,41.63
2023,5.96,2.33,-2.73,-0.61,2.1,4.91,28.18
