year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,3.47,7.63,,-10.2,7.79,16.88,64.05
2006,2.89,6.2,-2.3,-8.31,4.24,15.35,62.89
2007,5.08,1.27,-2.4,1.58,6.53,15.66,78.93
2008,1.4,4.62,-3.45,-2.74,5.72,15.48,60.27
2009,0.55,3.94,,-2.97,6.14,14.89,56.18
2010,1.29,0.43,-4.27,-3.4,4.1,16.65,57.1
2011,-0.47,4.61,-5.53,-3.6,3.23,14.57,63.51
2012,,,-2.6,-5.0,7.0,11.18,63.98
2013,7.47,5.0,-1.09,,4.19,14.72,60.29
2014,-0.57,5.22,-3.79,-3.21,5.58,18.08,66.5
2015,,8.69,-3.76,-4.51,3.18,15.34,47.58
2016,1.85,5.43,-3.13,,2.63,16.67,60.34
2017,4.95,0.92,-1.53,-6.08,4.21,16.34,55.72
2018,4.94,5.39,-2.96,-6.27,5.34,,56.31
2019,,8.31,-5.01,-2.49,4.21,14.91,49.29
2020,-5.32,7.09,-1.54,-8.3,4.4,11.96,63.89
2021,13.17,5.26,-3.39,-3.21,5.04,13.94,61.23
2022,,4.23,-3.72,-2.89,4.84,17.74,52.85
2023,4.75,5.89,-1.25,-4.97,6.16,11.36,72.36
