year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,,,-4.38,-3.06,,12.3,85.66
2006,6.69,,,,36.44,,87.53
2007,,10.66,,-5.53,35.57,,100.44
2008,,1.73,-1.95,,35.4,12.28,77.06
2009,4.52,9.07,,-6.67,34.41,9.65,92.34
2010,,10.94,-3.52,-11.32,35.4,,85.58
2011,,,-3.0,-1.72,36.76,,79.28
2012,,16.96,-2.35,,32.95,,81.65
2013,5.68,6.94,-3.96,-11.3,,11.77,74.03
2014,7.72,8.97,-1.59,,34.7,9.2,87.17
2015,,,,-4.95,35.52,5.31,74.66
2016,,11.39,-1.76,-9.03,33.44,13.29,77.26
2017,,6.54,-4.07,-1.07,,,96.15
2018,2.28,4.1,-3.57,-4.68,34.11,9.01,
2019,8.9,6.4,-2.28,,34.46,,77.23
2020,,,,-3.84,33.85,8.38,87.48
2021,8.33,3.07,,,33.57,11.45,78.71
2022,5.1,4.66,-4.85,-1.68,34.81,8.72,95.63
2023,3.44,12.54,-4.17,-6.25,,11.66,
