year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,4.77,,2.36,3.87,,,
2006,6.19,9.67,,1.15,0.0,4.23,31.5
2007,5.4,,-0.59,5.95,,,11.18
2008,,7.26,1.04,-0.01,3.11,,
2009,10.76,13.95,2.01,,,6.84,
2010,1.48,,0.99,3.92,,5.76,20.54
2011,6.3,5.24,0.05,,0.03,,26.02
2012,5.63,6.52,-1.61,,0.26,1.64,0.0
2013,,11.46,-1.83,-3.13,1.38,,5.91
2014,,8.5,-0.92,,,4.73,
2015,,8.2,,4.64,,4.54,11.48
2016,9.81,,,3.18,0.0,5.86,
2017,,1.82,,3.8,0.0,5.28,22.9
2018,,,,,,,37.49
2019,,5.38,,0.22,0.0,6.26,27.7
2020,,8.25,-0.03,0.3,,6.25,
2021,10.31,6.17,0.48,-0.71,1.25,,19.28
2022,-0.19,,0.22,-1.13,0.0,,34.6
2023,,10.44,,-4.44,0.11,2.56,18.09
