year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,3.14,20.49,-5.92,-3.88,0.0,11.0,17.64
2006,3.24,4.97,-5.52,-3.2,2.42,8.54,39.64
2007,5.95,16.91,-2.21,-7.53,0.0,9.39,
2008,10.72,18.34,-1.8,0.75,0.63,11.82,31.17
2009,5.24,,-3.39,-4.89,0.0,8.28,36.59
2010,0.0,17.71,,-0.67,0.75,9.17,
2011,3.9,2.53,,-4.12,0.0,10.73,25.72
2012,3.41,21.98,-3.03,-3.0,0.0,10.76,44.94
2013,2.24,18.7,-3.78,-4.03,0.0,9.79,33.76
2014,6.76,19.72,-3.75,-6.52,0.27,12.08,38.57
2015,-0.16,12.24,-6.16,-7.66,2.71,8.64,31.28
2016,7.0,18.5,-2.03,,0.0,10.55,35.69
2017,,5.85,-2.98,-3.74,0.99,11.83,31.37
2018,2.42,0.21,-3.67,-0.65,0.2,10.98,36.92
2019,4.75,6.76,0.06,-2.79,4.32,11.08,26.11
2020,-1.82,10.24,-4.52,,0.22,11.98,44.32
2021,6.29,4.05,-4.51,-1.53,0.0,11.41,44.18
2022,10.0,21.81,,-3.24,0.0,10.6,35.66
2023,4.69,12.55,-1.65,-2.04,1.23,8.81,29.42
