year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,-0.42,17.14,-3.96,-3.81,9.6,7.78,37.77
2006,-1.45,10.59,-3.24,2.75,8.36,8.44,
2007,-1.47,12.24,-4.77,0.95,11.12,12.14,55.53
2008,0.97,12.78,-6.04,,8.42,,63.1
2009,13.05,20.42,,-5.85,,6.49,52.53
2010,8.2,21.53,-2.75,-3.88,9.51,6.53,49.38
2011,7.6,3.93,-1.51,4.84,7.92,12.07,60.94
2012,-0.88,6.35,-4.56,1.22,,7.32,47.04
2013,3.18,,-3.9,-1.03,8.9,6.11,49.47
2014,-6.57,7.93,-2.13,-5.09,9.61,9.57,47.24
2015,-12.54,21.13,-4.86,,6.84,8.09,48.22
2016,,11.15,-1.09,-0.92,8.61,6.41,51.06
2017,4.94,11.07,-4.74,-0.66,9.12,13.9,55.81
2018,1.24,31.94,-4.23,-11.04,6.55,9.1,42.97
2019,7.79,15.27,-3.85,-0.08,10.0,9.34,52.9
2020,,21.53,,1.39,7.38,12.42,58.27
2021,-1.48,0.84,-4.97,,7.2,8.48,64.11
2022,-0.52,1.86,-2.01,-6.84,4.81,10.09,54.34
2023,6.33,,-4.95,-2.47,5.4,10.76,59.4
