year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,0.22,2.25,-6.41,-0.35,1.72,7.89,88.22
2006,3.74,4.48,-3.62,-8.64,0.82,5.21,80.85
2007,0.82,5.4,-5.52,-2.37,0.0,7.03,87.6
2008,0.9,1.43,-6.26,0.48,0.84,4.95,95.55
2009,1.94,1.97,-5.47,-3.35,0.01,4.91,87.82
2010,-1.05,0.07,-6.05,-3.35,0.9,0.18,72.46
2011,5.11,5.47,-3.09,-6.67,1.97,4.69,85.98
2012,0.5,1.72,-4.35,2.65,0.95,5.05,97.33
2013,0.76,3.7,-5.12,-2.42,0.0,7.6,74.73
2014,3.27,1.74,-3.07,-6.75,0.0,6.06,95.83
2015,0.99,0.26,-5.92,-1.73,1.65,2.0,102.7
2016,2.68,3.16,-4.76,-2.43,0.88,5.33,100.85
2017,4.33,3.81,-4.08,-3.08,1.0,8.01,89.63
2018,2.13,1.87,-4.85,-6.46,2.61,5.48,103.39
2019,1.86,0.62,-4.19,,0.0,8.61,93.89
2020,-7.3,5.23,-3.72,-5.61,2.99,5.48,87.98
2021,5.21,0.67,-2.96,-4.96,0.0,5.71,
2022,2.18,1.82,-2.14,-3.48,0.0,6.76,76.61
2023,1.6,3.41,-6.46,-2.39,0.0,6.4,90.48
