year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,3.99,7.41,-3.42,-3.0,12.87,9.85,37.95
2006,5.5,7.55,,5.75,11.49,,32.31
2007,6.03,10.48,-2.44,,14.89,,33.78
2008,6.97,7.71,-3.02,-4.07,16.71,9.76,
2009,,12.49,0.5,-2.72,15.34,10.54,34.56
2010,7.25,8.65,-1.29,-4.66,13.44,5.67,23.59
2011,11.37,,-1.83,-4.35,13.25,6.64,31.21
2012,9.53,,-0.44,-3.54,14.25,11.78,30.09
2013,8.26,,-1.21,,,5.95,18.19
2014,,,,-3.24,16.18,6.11,36.94
2015,7.8,16.22,-1.84,,13.0,8.49,22.08
2016,9.16,7.72,-3.04,-5.43,14.71,11.66,27.02
2017,8.96,14.76,0.08,-5.04,14.18,,31.44
2018,6.06,8.99,-0.58,-1.17,15.66,9.66,27.83
2019,5.21,14.0,,-8.17,15.61,5.04,26.1
2020,-2.09,,,,15.22,,28.86
2021,9.69,19.32,-2.26,-3.7,14.35,,28.57
2022,11.36,10.04,,-5.45,18.81,7.91,40.99
2023,6.1,24.06,,,,,
