country,ref_year,pub_date,summary_path
ALB,2006,2007-07-01,text/ALB_2006.txt
ALB,2008,2009-07-01,text/ALB_2008.txt
ALB,2010,2011-07-01,text/ALB_2010.txt
ALB,2011,2012-07-01,text/ALB_2011.txt
ALB,2012,2013-07-01,text/ALB_2012.txt
ALB,2013,2014-07-01,text/ALB_2013.txt
ALB,2016,2017-07-01,text/ALB_2016.txt
ALB,2017,2018-07-01,text/ALB_2017.txt
ALB,2018,2019-07-01,text/ALB_2018.txt
ALB,2021,2022-07-01,text/ALB_2021.txt
ALB,2022,2023-07-01,text/ALB_2022.txt
ALB,2023,2024-07-01,text/ALB_2023.txt
ARM,2006,2007-07-01,text/ARM_2006.txt
ARM,2008,2009-07-01,text/ARM_2008.txt
ARM,2010,2011-07-01,text/ARM_2010.txt
ARM,2012,2013-07-01,text/ARM_2012.txt
ARM,2014,2015-07-01,text/ARM_2014.txt
ARM,2017,2018-07-01,text/ARM_2017.txt
ARM,2019,2020-07-01,text/ARM_2019.txt
ARM,2021,2022-07-01,text/ARM_2021.txt
ARM,2023,2024-07-01,text/ARM_2023.txt
AZE,2007,2008-07-01,text/AZE_2007.txt
AZE,2008,2009-07-01,text/AZE_2008.txt
AZE,2010,2011-07-01,text/AZE_2010.txt
AZE,2011,2012-07-01,text/AZE_2011.txt
AZE,2013,2014-07-01,text/AZE_2013.txt
AZE,2014,2015-07-01,text/AZE_2014.txt
AZE,2016,2017-07-01,text/AZE_2016.txt
AZE,2019,2020-07-01,text/AZE_2019.txt
AZE,2021,2022-07-01,text/AZE_2021.txt
AZE,2023,2024-07-01,text/AZE_2023.txt
BGR,2006,2007-07-01,text/BGR_2006.txt
BGR,2007,2008-07-01,text/BGR_2007.txt
BGR,2008,2009-07-01,text/BGR_2008.txt
BGR,2010,2011-07-01,text/BGR_2010.txt
BGR,2011,2012-07-01,text/BGR_2011.txt
BGR,2012,2013-07-01,text/BGR_2012.txt
BGR,2013,2014-07-01,text/BGR_2013.txt
BGR,2015,2016-07-01,text/BGR_2015.txt
BGR,2016,2017-07-01,text/BGR_2016.txt
BGR,2017,2018-07-01,text/BGR_2017.txt
BGR,2019,2020-07-01,text/BGR_2019.txt
BGR,2020,2021-07-01,text/BGR_2020.txt
BGR,2022,2023-07-01,text/BGR_2022.txt
BIH,2005,2006-07-01,text/BIH_2005.txt
BIH,2006,2007-07-01,text/BIH_2006.txt
BIH,2007,2008-07-01,text/BIH_2007.txt
BIH,2008,2009-07-01,text/BIH_2008.txt
