country,ref_year,pub_date,summary_path,pub_date_original
ALB,2006,2006-08-01,text/ALB_2006.txt,2007-07-01
ALB,2008,2008-08-04,text/ALB_2008.txt,2009-07-01
ALB,2010,2010-07-12,text/ALB_2010.txt,2011-07-01
ALB,2011,2011-10-21,text/ALB_2011.txt,2012-07-01
ALB,2012,2013-01-11,text/ALB_2012.txt,2013-07-01
ALB,2013,2014-03-19,text/ALB_2013.txt,2014-07-01
ALB,2016,2016-06-09,text/ALB_2016.txt,2017-07-01
ALB,2017,2017-12-13,text/ALB_2017.txt,2018-07-01
ALB,2018,2019-01-28,text/ALB_2018.txt,2019-07-01
ALB,2021,2021-12-07,text/ALB_2021.txt,2022-07-01
ALB,2022,2022-12-09,text/ALB_2022.txt,2023-07-01
ALB,2023,2024-01-12,text/ALB_2023.txt,2024-07-01
ARM,2006,2006-12-11,text/ARM_2006.txt,2007-07-01
ARM,2008,2009-01-29,text/ARM_2008.txt,2009-07-01
ARM,2010,2010-12-07,text/ARM_2010.txt,2011-07-01
ARM,2012,2013-02-05,text/ARM_2012.txt,2013-07-01
ARM,2014,2015-03-11,text/ARM_2014.txt,2015-07-01
ARM,2017,2017-07-19,text/ARM_2017.txt,2018-07-01
ARM,2019,2019-06-05,text/ARM_2019.txt,2020-07-01
ARM,2021,2021-12-21,text/ARM_2021.txt,2022-07-01
ARM,2023,2023-12-14,text/ARM_2023.txt,2024-07-01
AZE,2007,2007-06-05,text/AZE_2007.txt,2008-07-01
AZE,2008,2008-07-02,text/AZE_2008.txt,2009-07-01
AZE,2010,2010-05-13,text/AZE_2010.txt,2011-07-01
AZE,2011,2012-01-18,text/AZE_2011.txt,2012-07-01
AZE,2013,2013-06-19,text/AZE_2013.txt,2014-07-01
AZE,2014,2014-06-11,text/AZE_2014.txt,2015-07-01
AZE,2016,2016-09-14,text/AZE_2016.txt,2017-07-01
AZE,2019,2019-09-18,text/AZE_2019.txt,2020-07-01
AZE,2021,2021-12-22,text/AZE_2021.txt,2022-07-01
AZE,2023,2024-02-07,text/AZE_2023.txt,2024-07-01
BGR,2006,2006-08-08,text/BGR_2006.txt,2007-07-01
BGR,2007,2007-12-19,text/BGR_2007.txt,2008-07-01
BGR,2008,2009-03-16,text/BGR_2008.txt,2009-07-01
BGR,2010,2010-06-02,text/BGR_2010.txt,2011-07-01
BGR,2011,2011-07-15,text/BGR_2011.txt,2012-07-01
BGR,2012,2012-12-13,text/BGR_2012.txt,2013-07-01
BGR,2013,2014-01-30,text/BGR_2013.txt,2014-07-01
BGR,2015,2015-05-13,text/BGR_2015.txt,2016-07-01
BGR,2016,2016-11-10,text/BGR_2016.txt,2017-07-01
BGR,2017,2018-02-21,text/BGR_2017.txt,2018-07-01
BGR,2019,2019-03-22,text/BGR_2019.txt,2020-07-01
BGR,2020,2021-02-01,text/BGR_2020.txt,2021-07-01
BGR,2022,2022-06-24,text/BGR_2022.txt,2023-07-01
