model,val_mse,test_mse,status,fusion
imm_patchtst_gradd,1.2917,2.2176,ok,GR-Add
imm_dlinear_gradd,1.0538,2.4702,ok,GR-Add
imm_timellm_gradd,1.0589,2.641,ok,GR-Add
imm_timesnet_gradd,1.1336,2.7525,ok,GR-Add
imm_timemixer_gradd,0.9483,2.7917,ok,GR-Add
imm_informer_gradd,1.0081,2.884,ok,GR-Add
imm_latent_ode_gradd,0.9636,2.9563,ok,GR-Add
imm_ttm_gradd,1.1054,2.9759,ok,GR-Add
imm_cru_gradd,1.0521,2.9046,ok,GR-Add
imm_tpatchgnn_gradd,0.9356,2.9329,ok,GR-Add
imm_neural_flow_gradd,0.9668,3.14,ok,GR-Add
imm_timellm_xattn,1.1223,2.5326,ok,XAttn-Add
imm_dlinear_xattn,1.2232,2.6083,ok,XAttn-Add
imm_cru_xattn,0.9451,2.7631,ok,XAttn-Add
imm_informer_xattn,1.1359,2.7662,ok,XAttn-Add
imm_neural_flow_xattn,0.9583,2.7843,ok,XAttn-Add
imm_timemixer_xattn,0.9621,2.8224,ok,XAttn-Add
imm_patchtst_xattn,1.4121,2.8381,ok,XAttn-Add
imm_tpatchgnn_xattn,0.9272,2.8483,ok,XAttn-Add
imm_timesnet_xattn,1.1867,2.9495,ok,XAttn-Add
imm_latent_ode_xattn,0.994,3.077,ok,XAttn-Add
imm_ttm_xattn,1.4167,3.389,ok,XAttn-Add
